Model,Patient_Position,Original_Row_Index,Spearman_Raw,Spearman_Normalised,Top_3_Overlap,Agreement_Score,SHAP_Stability,LIME_Stability,Average_Stability,Reliability_Score,Reliability_Level
Random Forest,37,767,0.8571428571428572,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.9276785714285716,1.0,0.9638392857142858,0.8807291666666668,High
Random Forest,38,746,0.7142857142857144,0.8571428571428572,1.0,0.9285714285714286,0.9479166666666667,0.9985119047619048,0.9732142857142858,0.9508928571428572,High
Random Forest,39,345,0.14285714285714288,0.5714285714285714,0.6666666666666666,0.6190476190476191,0.7639880952380952,0.9630952380952381,0.8635416666666667,0.7412946428571429,Moderate
Random Forest,40,745,0.4285714285714286,0.7142857142857143,0.6666666666666666,0.6904761904761905,0.9497023809523808,0.9726190476190476,0.9611607142857141,0.8258184523809523,High
Random Forest,41,596,0.7857142857142858,0.8928571428571429,1.0,0.9464285714285714,0.9627976190476192,0.9976190476190476,0.9802083333333333,0.9633184523809524,High
Random Forest,42,279,0.9523809523809524,0.9761904761904763,1.0,0.9880952380952381,0.9949404761904763,0.9973214285714288,0.9961309523809525,0.9921130952380953,High
Random Forest,43,264,0.7380952380952381,0.8690476190476191,1.0,0.9345238095238095,0.9059523809523811,0.9958333333333333,0.9508928571428572,0.9427083333333334,High
Random Forest,44,380,0.6428571428571429,0.8214285714285714,0.6666666666666666,0.7440476190476191,0.9866071428571429,1.0,0.9933035714285714,0.8686755952380952,High
Random Forest,45,560,0.5952380952380953,0.7976190476190477,0.6666666666666666,0.7321428571428572,0.8752976190476192,0.9889880952380953,0.9321428571428572,0.8321428571428572,High
Random Forest,46,276,0.5714285714285715,0.7857142857142858,0.6666666666666666,0.7261904761904763,0.9166666666666667,0.9946428571428573,0.955654761904762,0.8409226190476191,High
Random Forest,47,501,0.8333333333333335,0.9166666666666667,0.6666666666666666,0.7916666666666667,0.8916666666666666,0.9994047619047619,0.9455357142857143,0.8686011904761906,High
Random Forest,48,415,0.9047619047619048,0.9523809523809523,0.6666666666666666,0.8095238095238095,0.9255952380952379,0.9985119047619048,0.9620535714285714,0.8857886904761905,High
Random Forest,49,535,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.8708333333333333,0.9955357142857144,0.9331845238095239,0.8505208333333334,High
Random Forest,50,558,0.9047619047619048,0.9523809523809523,1.0,0.9761904761904762,0.9869047619047618,0.8958333333333334,0.9413690476190476,0.9587797619047619,High
Random Forest,51,484,0.9523809523809524,0.9761904761904763,1.0,0.9880952380952381,0.9407738095238096,0.9961309523809525,0.9684523809523811,0.9782738095238096,High
Random Forest,52,428,0.8571428571428572,0.9285714285714286,1.0,0.9642857142857143,0.9532738095238095,0.9991071428571429,0.9761904761904762,0.9702380952380952,High
Random Forest,53,89,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.9839285714285715,0.9988095238095239,0.9913690476190478,0.9927083333333334,High
Random Forest,54,756,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.9583333333333336,0.9991071428571429,0.9787202380952382,0.9863839285714286,High
Random Forest,55,531,0.9285714285714287,0.9642857142857144,1.0,0.9821428571428572,0.9910714285714286,0.9794642857142856,0.985267857142857,0.9837053571428571,High
Random Forest,56,712,0.6666666666666669,0.8333333333333335,0.6666666666666666,0.75,0.899404761904762,0.9770833333333335,0.9382440476190478,0.844122023809524,High
Random Forest,57,532,0.5476190476190477,0.7738095238095238,0.6666666666666666,0.7202380952380952,0.99375,0.9994047619047619,0.996577380952381,0.8584077380952382,High
Random Forest,58,355,0.7619047619047621,0.880952380952381,0.6666666666666666,0.7738095238095238,0.9613095238095241,0.993154761904762,0.9772321428571431,0.8755208333333335,High
Random Forest,59,713,0.6666666666666669,0.8333333333333335,1.0,0.9166666666666667,0.9744047619047619,0.9994047619047619,0.986904761904762,0.9517857142857143,High
Random Forest,60,440,0.6666666666666669,0.8333333333333335,1.0,0.9166666666666667,0.9916666666666668,0.9949404761904764,0.9933035714285716,0.9549851190476192,High
Random Forest,61,311,0.880952380952381,0.9404761904761905,1.0,0.9702380952380952,0.9663690476190478,1.0,0.9831845238095239,0.9767113095238096,High
Random Forest,62,494,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,1.0,0.9955357142857144,0.9977678571428572,0.9959077380952381,High
Random Forest,63,235,0.7619047619047621,0.880952380952381,1.0,0.9404761904761905,0.9625000000000001,0.9946428571428573,0.9785714285714286,0.9595238095238096,High
Random Forest,64,650,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.9922619047619049,0.9994047619047619,0.9958333333333333,0.9949404761904762,High
Random Forest,65,724,0.8333333333333335,0.9166666666666667,1.0,0.9583333333333334,0.95625,0.9877976190476193,0.9720238095238096,0.9651785714285714,High
Random Forest,66,332,1.0,1.0,1.0,1.0,0.9901785714285717,0.9961309523809525,0.993154761904762,0.996577380952381,High
Random Forest,67,418,0.9285714285714287,0.9642857142857144,1.0,0.9821428571428572,0.9410714285714287,0.9943452380952381,0.9677083333333334,0.9749255952380953,High
Random Forest,68,410,0.9047619047619048,0.9523809523809523,0.6666666666666666,0.8095238095238095,0.8767857142857143,1.0,0.9383928571428571,0.8739583333333334,High
Random Forest,69,743,1.0,1.0,1.0,1.0,0.9940476190476193,0.9952380952380953,0.9946428571428573,0.9973214285714287,High
Random Forest,70,419,0.4047619047619048,0.7023809523809524,0.6666666666666666,0.6845238095238095,0.8199404761904763,0.9982142857142857,0.909077380952381,0.7968005952380952,Moderate
Random Forest,71,527,0.8571428571428572,0.9285714285714286,1.0,0.9642857142857143,0.9842261904761905,0.9979166666666668,0.9910714285714286,0.9776785714285714,High
Random Forest,72,351,0.5476190476190477,0.7738095238095238,0.6666666666666666,0.7202380952380952,0.95625,0.9860119047619047,0.9711309523809524,0.8456845238095239,High
Random Forest,73,618,0.5952380952380953,0.7976190476190477,0.3333333333333333,0.5654761904761905,0.9083333333333334,0.9976190476190476,0.9529761904761905,0.7592261904761906,Moderate
Random Forest,74,407,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.9946428571428573,0.9967261904761905,0.9956845238095239,0.9948660714285715,High
Random Forest,75,243,0.7619047619047621,0.880952380952381,1.0,0.9404761904761905,0.986607142857143,0.9985119047619048,0.992559523809524,0.9665178571428572,High
