Model,Patient_Position,Original_Row_Index,Spearman_Raw,Spearman_P_Value,Spearman_Normalised,Top_3_Overlap,Agreement_Score,SHAP_Top_Features,LIME_Top_Features,Agreement_Level
Logistic Regression,99,488,0.6428571428571429,0.08555889101267318,0.8214285714285714,0.6666666666666666,0.7440476190476191,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,100,615,0.8333333333333335,0.01017554012345675,0.9166666666666667,0.6666666666666666,0.7916666666666667,"BMI, Glucose, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,101,481,0.7857142857142858,0.020815127253525276,0.8928571428571429,0.6666666666666666,0.7797619047619048,"Pregnancies, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,102,139,0.7857142857142858,0.020815127253525276,0.8928571428571429,0.6666666666666666,0.7797619047619048,"BMI, Glucose, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,103,570,0.523809523809524,0.18272075053971482,0.761904761904762,0.3333333333333333,0.5476190476190477,"Glucose, Age, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Low
Logistic Regression,104,300,0.3333333333333334,0.4197530864197531,0.6666666666666667,0.6666666666666666,0.6666666666666667,"Glucose, BloodPressure, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,105,736,0.8333333333333335,0.01017554012345675,0.9166666666666667,1.0,0.9583333333333334,"Pregnancies, BMI, Glucose","Glucose, BMI, Pregnancies",High
Logistic Regression,106,445,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"BMI, Glucose, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,107,447,0.880952380952381,0.0038503204637324014,0.9404761904761905,1.0,0.9702380952380952,"Glucose, Pregnancies, BMI","Glucose, BMI, Pregnancies",High
Logistic Regression,108,489,0.8333333333333335,0.01017554012345675,0.9166666666666667,0.6666666666666666,0.7916666666666667,"Glucose, Age, BMI","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,109,330,0.4285714285714286,0.2894032248467901,0.7142857142857143,0.6666666666666666,0.6904761904761905,"DiabetesPedigreeFunction, BMI, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,110,144,0.3571428571428572,0.3851206435562562,0.6785714285714286,0.3333333333333333,0.5059523809523809,"Glucose, Age, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Low
Logistic Regression,111,185,0.9285714285714287,0.0008629681828999769,0.9642857142857144,1.0,0.9821428571428572,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,112,584,0.28571428571428575,0.4927262450169573,0.6428571428571429,0.3333333333333333,0.48809523809523814,"Pregnancies, Age, Insulin","Glucose, BMI, Pregnancies",Low
Logistic Regression,113,164,0.4047619047619048,0.3198886412288162,0.7023809523809524,0.6666666666666666,0.6845238095238095,"Glucose, Pregnancies, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,114,309,0.7142857142857144,0.04652823228416724,0.8571428571428572,0.6666666666666666,0.7619047619047619,"DiabetesPedigreeFunction, Glucose, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,115,127,0.28571428571428575,0.4927262450169573,0.6428571428571429,0.3333333333333333,0.48809523809523814,"Pregnancies, Age, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Low
Logistic Regression,116,763,0.5714285714285715,0.1389599571607067,0.7857142857142858,0.6666666666666666,0.7261904761904763,"Age, Pregnancies, Glucose","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,117,310,0.9047619047619048,0.0020082755054294677,0.9523809523809523,1.0,0.9761904761904762,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
